# {'EVID','X','Y','Z','OT','dOT','ex','ey','ez'} (%8.3f %8.3f %8.3f %015.3f %7.3f %f %f %f\n)
063    5.778    6.033    5.760 20160814121114.820  -0.029 0.089000 0.104000 0.170000
064    6.360    6.435    5.890 20160815121114.820  -0.057 0.113000 0.101000 0.170000
065    6.576    6.436    5.720 20160816121114.820   0.020 0.081000 0.115000 0.150000
066    7.066    7.270    6.040 20160817121114.820  -0.054 0.087000 0.100000 0.190000
067    7.448    7.674    5.840 20160818121114.820  -0.045 0.102000 0.094000 0.180000
068    7.742    8.029    5.810 20160819121114.820  -0.025 0.141000 0.094000 0.220000
069    8.162    8.262    5.790 20160820121114.820  -0.013 0.111000 0.125000 0.160000
070    8.640    8.582    5.840 20160821121114.820  -0.020 0.110000 0.126000 0.180000
071    8.754    9.109    5.640 20160822121114.820  -0.026 0.100000 0.128000 0.150000
072    9.312    9.226    5.550 20160823121114.820   0.015 0.112000 0.113000 0.150000
073    9.955    9.846    5.850 20160824121114.820  -0.009 0.105000 0.098000 0.160000
074   10.080   10.163    5.680 20160825121114.828   0.019 0.136000 0.129000 0.180000
075   10.460   10.642    5.540 20160826121114.828  -0.002 0.160000 0.147000 0.200000
076   10.949   11.075    5.810 20160827121114.828  -0.016 0.119000 0.146000 0.180000
077   11.139   11.104    5.370 20160828121114.828   0.042 0.132000 0.132000 0.170000
078   11.858   11.793    5.770 20160829121114.828  -0.023 0.156000 0.106000 0.170000
079   12.335   12.320    5.730 20160830121114.828  -0.032 0.117000 0.144000 0.180000
080   12.313   12.495    5.800 20160831121114.828   0.045 0.136000 0.113000 0.180000
081   12.641   13.041    5.740 20160901121114.828   0.030 0.151000 0.096000 0.160000
082   13.288   13.621    5.730 20160902121114.828  -0.014 0.183000 0.121000 0.200000
083   13.914   14.028    5.920 20160903121114.828  -0.034 0.175000 0.161000 0.230000
084   14.223   14.170    5.510 20160904121114.828   0.010 0.138000 0.129000 0.190000
085   14.712   14.961    5.820 20160905121114.828  -0.054 0.151000 0.126000 0.190000
086   15.221   15.118    5.700 20160906121114.828  -0.058 0.143000 0.153000 0.240000
087   15.370   15.374    5.540 20160907121114.828   0.011 0.123000 0.119000 0.190000
088   15.727   15.839    5.540 20160908121114.828   0.015 0.166000 0.208000 0.260000
089   16.496   16.631    5.980 20160909121114.828  -0.075 0.143000 0.114000 0.190000
090   16.689   16.631    5.960 20160910121114.828  -0.023 0.131000 0.146000 0.220000
