  0    4.648   17.378   -4.073    0.000    0.000    0.000    0.000 ST01
  1   17.372    4.664   -3.885    0.000    0.000    0.000    0.000 ST02
  2   12.726  -12.712   -3.943    0.000    0.000    0.000    0.000 ST03
  3   -4.646  -17.379   -3.723    0.000    0.000    0.000    0.000 ST04
  4  -17.374   -4.666   -3.077    0.000    0.000    0.000    0.000 ST05
  5  -12.726   12.714   -3.309    0.000    0.000    0.000    0.000 ST06
  6   11.585   -3.098   -3.840    0.000    0.000    0.000    0.000 ST07
  7    3.110  -11.582   -4.007    0.000    0.000    0.000    0.000 ST08
  8   -8.475   -8.485   -3.386    0.000    0.000    0.000    0.000 ST09
  9  -11.586    3.098   -3.400    0.000    0.000    0.000    0.000 ST10
 10   -3.110   11.583   -3.835    0.000    0.000    0.000    0.000 ST11
 11    8.475    8.484   -4.048    0.000    0.000    0.000    0.000 ST12
 12    0.003   -5.996   -4.202    0.000    0.000    0.000    0.000 ST13
 13   -5.191   -3.001   -3.971    0.000    0.000    0.000    0.000 ST14
 14   -5.194    2.996   -3.823    0.000    0.000    0.000    0.000 ST15
 15   -0.003    5.996   -3.968    0.000    0.000    0.000    0.000 ST16
 16    5.191    3.001   -4.036    0.000    0.000    0.000    0.000 ST17
 17    5.194   -2.995   -4.095    0.000    0.000    0.000    0.000 ST18
