STAN -4.300 3.110 0 1.730 0 3.110 0 1.730 0 3.110 1.730 0.01
STAN -4.050 3.188 0 1.730 0 3.188 0 1.730 0 3.188 1.730 0.01
STAN -3.800 3.265 0 1.730 0 3.265 0 1.730 0 3.265 1.730 0.01
STAN -3.550 3.341 0 1.730 0 3.341 0 1.730 0 3.341 1.730 0.01
STAN -3.300 3.416 0 1.730 0 3.416 0 1.730 0 3.416 1.730 0.01
STAN -3.050 3.489 0 1.730 0 3.489 0 1.730 0 3.489 1.730 0.01
STAN -2.800 3.562 0 1.730 0 3.562 0 1.730 0 3.562 1.730 0.01
STAN -2.550 3.633 0 1.730 0 3.633 0 1.730 0 3.633 1.730 0.01
STAN -2.300 3.703 0 1.730 0 3.703 0 1.730 0 3.703 1.730 0.01
STAN -2.050 3.773 0 1.730 0 3.773 0 1.730 0 3.773 1.730 0.01
STAN -1.800 3.841 0 1.730 0 3.841 0 1.730 0 3.841 1.730 0.01
STAN -1.550 3.908 0 1.730 0 3.908 0 1.730 0 3.908 1.730 0.01
STAN -1.300 3.974 0 1.730 0 3.974 0 1.730 0 3.974 1.730 0.01
STAN -1.050 4.039 0 1.730 0 4.039 0 1.730 0 4.039 1.730 0.01
STAN -0.800 4.104 0 1.730 0 4.104 0 1.730 0 4.104 1.730 0.01
STAN -0.550 4.167 0 1.730 0 4.167 0 1.730 0 4.167 1.730 0.01
STAN -0.300 4.229 0 1.730 0 4.229 0 1.730 0 4.229 1.730 0.01
STAN -0.050 4.290 0 1.730 0 4.290 0 1.730 0 4.290 1.730 0.01
STAN 0.200 4.350 0 1.730 0 4.350 0 1.730 0 4.350 1.730 0.01
STAN 0.450 4.409 0 1.730 0 4.409 0 1.730 0 4.409 1.730 0.01
STAN 0.700 4.467 0 1.730 0 4.467 0 1.730 0 4.467 1.730 0.01
STAN 0.950 4.525 0 1.730 0 4.525 0 1.730 0 4.525 1.730 0.01
STAN 1.200 4.581 0 1.730 0 4.581 0 1.730 0 4.581 1.730 0.01
STAN 1.450 4.636 0 1.730 0 4.636 0 1.730 0 4.636 1.730 0.01
STAN 1.700 4.691 0 1.730 0 4.691 0 1.730 0 4.691 1.730 0.01
STAN 1.950 4.745 0 1.730 0 4.745 0 1.730 0 4.745 1.730 0.01
STAN 2.200 4.797 0 1.730 0 4.797 0 1.730 0 4.797 1.730 0.01
STAN 2.450 4.849 0 1.730 0 4.849 0 1.730 0 4.849 1.730 0.01
STAN 2.700 4.900 0 1.730 0 4.900 0 1.730 0 4.900 1.730 0.01
STAN 2.950 4.950 0 1.730 0 4.950 0 1.730 0 4.950 1.730 0.01
STAN 3.200 4.999 0 1.730 0 4.999 0 1.730 0 4.999 1.730 0.01
STAN 3.450 5.047 0 1.730 0 5.047 0 1.730 0 5.047 1.730 0.01
STAN 3.700 5.095 0 1.730 0 5.095 0 1.730 0 5.095 1.730 0.01
STAN 3.950 5.142 0 1.730 0 5.142 0 1.730 0 5.142 1.730 0.01
STAN 4.200 5.187 0 1.730 0 5.187 0 1.730 0 5.187 1.730 0.01
STAN 4.450 5.232 0 1.730 0 5.232 0 1.730 0 5.232 1.730 0.01
STAN 4.700 5.277 0 1.730 0 5.277 0 1.730 0 5.277 1.730 0.01
STAN 4.950 5.320 0 1.730 0 5.320 0 1.730 0 5.320 1.730 0.01
STAN 5.200 5.363 0 1.730 0 5.363 0 1.730 0 5.363 1.730 0.01
STAN 5.450 5.404 0 1.730 0 5.404 0 1.730 0 5.404 1.730 0.01
STAN 5.700 5.446 0 1.730 0 5.446 0 1.730 0 5.446 1.730 0.01
STAN 5.950 5.486 0 1.730 0 5.486 0 1.730 0 5.486 1.730 0.01
STAN 6.200 5.525 0 1.730 0 5.525 0 1.730 0 5.525 1.730 0.01
STAN 6.450 5.564 0 1.730 0 5.564 0 1.730 0 5.564 1.730 0.01
STAN 6.700 5.602 0 1.730 0 5.602 0 1.730 0 5.602 1.730 0.01
STAN 6.950 5.640 0 1.730 0 5.640 0 1.730 0 5.640 1.730 0.01
STAN 7.200 5.676 0 1.730 0 5.676 0 1.730 0 5.676 1.730 0.01
STAN 7.450 5.712 0 1.730 0 5.712 0 1.730 0 5.712 1.730 0.01
STAN 7.700 5.747 0 1.730 0 5.747 0 1.730 0 5.747 1.730 0.01
STAN 7.950 5.782 0 1.730 0 5.782 0 1.730 0 5.782 1.730 0.01
STAN 8.200 5.816 0 1.730 0 5.816 0 1.730 0 5.816 1.730 0.01
STAN 8.450 5.849 0 1.730 0 5.849 0 1.730 0 5.849 1.730 0.01
STAN 8.700 5.882 0 1.730 0 5.882 0 1.730 0 5.882 1.730 0.01
STAN 8.950 5.914 0 1.730 0 5.914 0 1.730 0 5.914 1.730 0.01
STAN 9.200 5.945 0 1.730 0 5.945 0 1.730 0 5.945 1.730 0.01
STAN 9.450 5.976 0 1.730 0 5.976 0 1.730 0 5.976 1.730 0.01
STAN 9.700 6.006 0 1.730 0 6.006 0 1.730 0 6.006 1.730 0.01
STAN 9.950 6.035 0 1.730 0 6.035 0 1.730 0 6.035 1.730 0.01
STAN 10.200 6.064 0 1.730 0 6.064 0 1.730 0 6.064 1.730 0.01
STAN 10.450 6.092 0 1.730 0 6.092 0 1.730 0 6.092 1.730 0.01
STAN 10.700 6.120 0 1.730 0 6.120 0 1.730 0 6.120 1.730 0.01
STAN 10.950 6.147 0 1.730 0 6.147 0 1.730 0 6.147 1.730 0.01
STAN 11.200 6.174 0 1.730 0 6.174 0 1.730 0 6.174 1.730 0.01
STAN 11.450 6.200 0 1.730 0 6.200 0 1.730 0 6.200 1.730 0.01
STAN 11.700 6.225 0 1.730 0 6.225 0 1.730 0 6.225 1.730 0.01
STAN 11.950 6.250 0 1.730 0 6.250 0 1.730 0 6.250 1.730 0.01
STAN 12.200 6.275 0 1.730 0 6.275 0 1.730 0 6.275 1.730 0.01
STAN 12.450 6.298 0 1.730 0 6.298 0 1.730 0 6.298 1.730 0.01
STAN 12.700 6.322 0 1.730 0 6.322 0 1.730 0 6.322 1.730 0.01
STAN 12.950 6.345 0 1.730 0 6.345 0 1.730 0 6.345 1.730 0.01
STAN 13.200 6.367 0 1.730 0 6.367 0 1.730 0 6.367 1.730 0.01
STAN 13.450 6.389 0 1.730 0 6.389 0 1.730 0 6.389 1.730 0.01
STAN 13.700 6.411 0 1.730 0 6.411 0 1.730 0 6.411 1.730 0.01
STAN 13.950 6.432 0 1.730 0 6.432 0 1.730 0 6.432 1.730 0.01
STAN 14.200 6.452 0 1.730 0 6.452 0 1.730 0 6.452 1.730 0.01
STAN 14.450 6.472 0 1.730 0 6.472 0 1.730 0 6.472 1.730 0.01
STAN 14.700 6.492 0 1.730 0 6.492 0 1.730 0 6.492 1.730 0.01
STAN 14.950 6.511 0 1.730 0 6.511 0 1.730 0 6.511 1.730 0.01
STAN 15.200 6.530 0 1.730 0 6.530 0 1.730 0 6.530 1.730 0.01
STAN 15.450 6.549 0 1.730 0 6.549 0 1.730 0 6.549 1.730 0.01
STAN 15.700 6.567 0 1.730 0 6.567 0 1.730 0 6.567 1.730 0.01
STAN 15.950 6.585 0 1.730 0 6.585 0 1.730 0 6.585 1.730 0.01
